"","Denmark","Poland","Germany","Italy","Netherlands","Croatia"
"Denmark",0,0.00100030197329826,0.000910629944689823,0.000101787623530636,5.76787893848962e-05,2.87437829301629e-05
"Poland",0,0,5.85746740000559e-09,1.22220056308908e-06,5.7908329740286e-06,3.58306472714176e-07
"Germany",7.93219232408937e-07,1.89786027858796e-05,0,8.1480666761502e-06,8.52877217050185e-06,5.65032079757888e-06
"Italy",0,0,4.30288251695998e-08,0,2.52261000510678e-06,0
"Netherlands",3.16693100976817e-06,1.32878168609407e-05,0.00048203977480421,6.04171975920886e-05,0,3.74741218205354e-05
"Croatia",0,2.51356963132388e-07,2.35302198192677e-06,0.000144572536135978,2.6619875124978e-05,0
