"exporter","importer","no_exported_animals","exporter_herd_size","rate_exp_to_imp","rel_p_exp_to_imp"
"Albania","Greece",0.154109589041096,104040,1.48125325875717e-06,1
"Austria","Albania",0.0694246575342466,2534440,2.73925038802444e-08,0.00166855173162981
"Austria","Bulgaria",1.57914764079148,2534440,6.23075567301446e-07,0.0379532233089083
"Austria","Croatia",2.78656377473364,2534440,1.09947908600466e-06,0.0669722541927575
"Austria","Germany",6.02553911719939,2534440,2.37746370685413e-06,0.14481776482724
"Austria","Greece",0.00015220700152207,2534440,6.00554763664044e-11,3.6581420056779e-06
"Austria","Italy",9.84647792998478,2534440,3.88507044159056e-06,0.236650181420431
"Austria","Latvia",0.102861491628615,2534440,4.05854909284161e-08,0.00247217236743713
"Austria","Netherlands",3.22008675799087,2534440,1.27053185634336e-06,0.0773915425278616
"Austria","Other",0.0999123287671233,2534440,3.94218560183407e-08,0.00240129220793511
"Austria","Serbia",0.0988931506849315,2534440,3.90197245485912e-08,0.00237679728906509
"Austria","Slovenia",17.6785768645358,2534440,6.97533848287423e-06,0.424886792210979
"Austria","Sweden",0.010958904109589,2534440,4.32399429838112e-09,0.000263386224408809
"Austria","Ukraine",0.0891397260273973,2534440,3.5171369623032e-08,0.00214238354934125
"Belgium","Austria",1.80222222222222,5375200,3.35284681913645e-07,0.000750968265524356
"Belgium","Bulgaria",0.60882800608828,5375200,1.13266112161088e-07,0.000253692639063681
"Belgium","Croatia",6.80611872146119,5375200,1.26620753115441e-06,0.00283604269672485
"Belgium","France",122.114677321157,5375200,2.2718164407121e-05,0.0508839843900382
"Belgium","Germany",784.98683196347,5375200,0.000146038627765194,0.327096288343502
"Belgium","Greece",1.60613698630137,5375200,2.98805065169923e-07,0.000669261477261117
"Belgium","Hungary",5.34599634703196,5375200,9.94566964397969e-07,0.00222762407139773
"Belgium","Italy",112.776582952816,5375200,2.09809091666944e-05,0.0469928923567545
"Belgium","Luxembourg",78.8370103500761,5375200,1.46668050212227e-05,0.0328506064300556
"Belgium","Netherlands",392.081968949772,5375200,7.29427684457828e-05,0.16337669824231
"Belgium","Other",0.142509589041096,5375200,2.65124254057702e-08,5.9382343410914e-05
"Belgium","Poland",5.25563926940639,5375200,9.77756970792974e-07,0.00218997316629533
"Belgium","Portugal",44.488797564688,5375200,8.27667762403036e-06,0.0185380441604045
"Belgium","Romania",3.41251902587519,5375200,6.34863637794908e-07,0.00142196309774188
"Belgium","Slovenia",6.44840182648402,5375200,1.19965802695416e-06,0.00268698558664298
"Belgium","Spain",833.14601217656,5375200,0.00015499814186943,0.34716374483569
"Belgium","United Kingdom",0.00443470319634703,5375200,8.25030360981365e-10,1.84789718293985e-06
"Bulgaria","Hungary",1.22054794520548,700780,1.74169917121704e-06,0.00813849025803332
"Bulgaria","Netherlands",5.68276286149163,700780,8.10919669723969e-06,0.0378920880319676
"Bulgaria","Romania",143.068969863014,700780,0.000204156753707317,0.953969421709999
"Croatia","Albania",26.8452359208524,873000,3.07505566103693e-05,0.0276862293425668
"Croatia","Austria",13.4190791476408,873000,1.53712246822919e-05,0.0138394649964336
"Croatia","Bulgaria",0.502739726027397,873000,5.75875974830925e-07,0.00051848929156186
"Croatia","Germany",3.07540334855403,873000,3.52279879559454e-06,0.00317174796600787
"Croatia","Greece",0.319786910197869,873000,3.66308030009014e-07,0.000329805026209951
"Croatia","Hungary",585.638561643836,873000,0.000670834549420201,0.603985138269084
"Croatia","Ireland",0.669467275494673,873000,7.668582766262e-07,0.000690439993946619
"Croatia","Italy",188.96996499239,873000,0.000216460440999301,0.194889916596792
"Croatia","Lithuania",0.351902587519026,873000,4.03095747444474e-07,0.000362926806567066
"Croatia","Montenegro",0.797686453576865,873000,9.1373018737327e-07,0.000822675954955312
"Croatia","Netherlands",34.7926398782344,873000,3.9854112117107e-05,0.0358826053882394
"Croatia","Other",39.372800608828,873000,4.51005734350836e-05,0.0406062509835658
"Croatia","Poland",0.328523592085236,873000,3.76315683946433e-07,0.000338815406269185
"Croatia","Romania",1.05316133942161,873000,1.20637037734435e-06,0.00108615422356198
"Croatia","Serbia",72.3560730593607,873000,8.28820997243536e-05,0.0746228060336367
"Croatia","Slovakia",1.01519786910198,873000,1.16288415704694e-06,0.00104700145362515
"Croatia","Spain",0.115901369863014,873000,1.32762164791539e-07,0.000119532266976746
"Cyprus","Netherlands",0.0114748858447489,309790,3.7040852980241e-08,1
"Czechia","Austria",41.4191111111111,1421820,2.91310511253964e-05,0.0436406584652603
"Czechia","Belarus",0.0157187214611872,1421820,1.10553526193099e-08,1.65618077355168e-05
"Czechia","Bulgaria",5.96200273972603,1421820,4.19321907113842e-06,0.00628177955425828
